
====== dayiunip.db ======

  [含簡體字的詞條] (407):
    id=807124, word=数  (正體應為: 數)
    id=807234, word=数  (正體應為: 數)
    id=807344, word=设  (正體應為: 設)
    id=807616, word=层  (正體應為: 層)
    id=807887, word=从  (正體應為: 從)
    id=807949, word=从  (正體應為: 從)
    id=808021, word=数  (正體應為: 數)
    id=808889, word=我  (正體應為: 我)
    id=809338, word=我  (正體應為: 我)
    id=809707, word=乐  (正體應為: 樂)
    id=811127, word=数  (正體應為: 數)
    id=811710, word=众  (正體應為: 眾)
    id=813893, word=将  (正體應為: 將)
    id=813947, word=将  (正體應為: 將)
    id=815236, word=难  (正體應為: 難)
    id=815268, word=内  (正體應為: 內)
    id=815560, word=内  (正體應為: 內)
    id=816689, word=义  (正體應為: 義)
    id=816711, word=义  (正體應為: 義)
    id=816750, word=义  (正體應為: 義)
    id=816876, word=种  (正體應為: 種)
    id=817537, word=亿  (正體應為: 億)
    id=818350, word=广  (正體應為: 廣)
    id=818829, word=义  (正體應為: 義)
    id=818831, word=亿  (正體應為: 億)
    id=819661, word=众  (正體應為: 眾)
    id=820524, word=写  (正體應為: 寫)
    id=820582, word=写  (正體應為: 寫)
    id=823920, word=乱  (正體應為: 亂)
    id=824325, word=乐  (正體應為: 樂)
    id=826226, word=从  (正體應為: 從)
    id=826231, word=总  (正體應為: 總)
    id=826270, word=总  (正體應為: 總)
    id=826295, word=从  (正體應為: 從)
    id=826401, word=做  (正體應為: 做)
    id=827695, word=我們  (正體應為: 我們)
    id=827696, word=我們  (正體應為: 我們)
    id=827855, word=我的  (正體應為: 我的)
    id=827856, word=我的  (正體應為: 我的)
    id=827857, word=我的  (正體應為: 我的)
    id=828315, word=我國  (正體應為: 我國)
    id=828316, word=我國  (正體應為: 我國)
    id=828598, word=我要  (正體應為: 我要)
    id=828599, word=我要  (正體應為: 我要)
    id=828656, word=我們的  (正體應為: 我們的)
    id=828657, word=我們的  (正體應為: 我們的)
    id=828658, word=我們的  (正體應為: 我們的)
    id=828936, word=我是  (正體應為: 我是)
    id=828937, word=我是  (正體應為: 我是)
    id=829216, word=我想  (正體應為: 我想)
    id=829217, word=我想  (正體應為: 我想)
    id=829483, word=我有  (正體應為: 我有)
    id=829484, word=我有  (正體應為: 我有)
    id=830566, word=我也  (正體應為: 我也)
    id=830567, word=我也  (正體應為: 我也)
    id=830743, word=自我  (正體應為: 自我)
    id=830744, word=自我  (正體應為: 自我)
    id=830775, word=我在  (正體應為: 我在)
    id=830776, word=我在  (正體應為: 我在)
    id=830779, word=我再  (正體應為: 我再)
    id=830780, word=我再  (正體應為: 我再)
    id=831748, word=我不  (正體應為: 我不)
    id=831749, word=我不  (正體應為: 我不)
    id=832292, word=做為  (正體應為: 做為)
    id=832293, word=做為  (正體應為: 做為)
    id=832313, word=我會  (正體應為: 我會)
    id=832314, word=我會  (正體應為: 我會)
    id=832315, word=我會  (正體應為: 我會)
    id=832316, word=我會  (正體應為: 我會)
    id=835300, word=我知道  (正體應為: 我知道)
    id=835301, word=我知道  (正體應為: 我知道)
    id=835750, word=自我介紹  (正體應為: 自我介紹)
    id=835751, word=自我介紹  (正體應為: 自我介紹)
    id=835805, word=我只  (正體應為: 我只)
    id=835806, word=我只  (正體應為: 我只)
    id=836190, word=做在  (正體應為: 做在)
